STATE,ST_CASE,VEH_NO,PER_NO,NMIMPAIR,YEAR
Texas,480929.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,480945.0,0.0,1.0,None/Apparently Normal,2014
Texas,480948.0,0.0,1.0,None/Apparently Normal,2014
Texas,480956.0,0.0,1.0,None/Apparently Normal,2014
Texas,480969.0,0.0,1.0,None/Apparently Normal,2014
Texas,480982.0,0.0,1.0,None/Apparently Normal,2014
Texas,480990.0,0.0,1.0,None/Apparently Normal,2014
Texas,480992.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481003.0,0.0,1.0,None/Apparently Normal,2014
Texas,481013.0,0.0,1.0,None/Apparently Normal,2014
Texas,481015.0,0.0,1.0,None/Apparently Normal,2014
Texas,481021.0,0.0,1.0,None/Apparently Normal,2014
Texas,481027.0,0.0,1.0,None/Apparently Normal,2014
Texas,481028.0,0.0,1.0,Other Physical Impairment,2014
Texas,481030.0,0.0,1.0,None/Apparently Normal,2014
Texas,481039.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481040.0,0.0,1.0,None/Apparently Normal,2014
Texas,481058.0,0.0,1.0,None/Apparently Normal,2014
Texas,481060.0,0.0,1.0,None/Apparently Normal,2014
Texas,481061.0,0.0,1.0,None/Apparently Normal,2014
Texas,481079.0,0.0,1.0,None/Apparently Normal,2014
Texas,481081.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481084.0,0.0,1.0,None/Apparently Normal,2014
Texas,481088.0,0.0,1.0,None/Apparently Normal,2014
Texas,481092.0,0.0,1.0,None/Apparently Normal,2014
Texas,481099.0,0.0,1.0,None/Apparently Normal,2014
Texas,481100.0,0.0,1.0,None/Apparently Normal,2014
Texas,481104.0,0.0,1.0,None/Apparently Normal,2014
Texas,481106.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481111.0,0.0,1.0,None/Apparently Normal,2014
Texas,481124.0,0.0,1.0,None/Apparently Normal,2014
Texas,481132.0,0.0,1.0,None/Apparently Normal,2014
Texas,481133.0,0.0,1.0,None/Apparently Normal,2014
Texas,481153.0,0.0,1.0,None/Apparently Normal,2014
Texas,481155.0,0.0,1.0,None/Apparently Normal,2014
Texas,481169.0,0.0,1.0,None/Apparently Normal,2014
Texas,481176.0,0.0,1.0,None/Apparently Normal,2014
Texas,481184.0,0.0,1.0,None/Apparently Normal,2014
Texas,481185.0,0.0,1.0,Blind,2014
Texas,481190.0,0.0,1.0,None/Apparently Normal,2014
Texas,481190.0,0.0,2.0,None/Apparently Normal,2014
Texas,481192.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481199.0,0.0,1.0,None/Apparently Normal,2014
Texas,481211.0,0.0,1.0,None/Apparently Normal,2014
Texas,481215.0,0.0,1.0,None/Apparently Normal,2014
Texas,481221.0,0.0,1.0,None/Apparently Normal,2014
Texas,481225.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481227.0,0.0,1.0,None/Apparently Normal,2014
Texas,481231.0,0.0,1.0,None/Apparently Normal,2014
Texas,481232.0,0.0,1.0,None/Apparently Normal,2014
Texas,481235.0,0.0,1.0,None/Apparently Normal,2014
Texas,481245.0,0.0,1.0,None/Apparently Normal,2014
Texas,481248.0,0.0,1.0,None/Apparently Normal,2014
Texas,481251.0,0.0,1.0,None/Apparently Normal,2014
Texas,481252.0,0.0,1.0,None/Apparently Normal,2014
Texas,481255.0,0.0,1.0,None/Apparently Normal,2014
Texas,481270.0,0.0,1.0,None/Apparently Normal,2014
Texas,481270.0,0.0,2.0,None/Apparently Normal,2014
Texas,481270.0,0.0,3.0,None/Apparently Normal,2014
Texas,481288.0,0.0,1.0,None/Apparently Normal,2014
Texas,481290.0,0.0,1.0,None/Apparently Normal,2014
Texas,481298.0,0.0,1.0,None/Apparently Normal,2014
Texas,481302.0,0.0,1.0,None/Apparently Normal,2014
Texas,481303.0,0.0,1.0,None/Apparently Normal,2014
Texas,481305.0,0.0,1.0,None/Apparently Normal,2014
Texas,481311.0,0.0,1.0,None/Apparently Normal,2014
Texas,481321.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481353.0,0.0,1.0,None/Apparently Normal,2014
Texas,481365.0,0.0,1.0,None/Apparently Normal,2014
Texas,481367.0,0.0,1.0,None/Apparently Normal,2014
Texas,481376.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481383.0,0.0,1.0,None/Apparently Normal,2014
Texas,481385.0,0.0,1.0,None/Apparently Normal,2014
Texas,481391.0,0.0,1.0,None/Apparently Normal,2014
Texas,481420.0,0.0,1.0,None/Apparently Normal,2014
Texas,481422.0,0.0,1.0,None/Apparently Normal,2014
Texas,481424.0,0.0,1.0,None/Apparently Normal,2014
Texas,481449.0,0.0,1.0,None/Apparently Normal,2014
Texas,481455.0,0.0,1.0,None/Apparently Normal,2014
Texas,481460.0,0.0,1.0,None/Apparently Normal,2014
Texas,481462.0,0.0,1.0,None/Apparently Normal,2014
Texas,481470.0,0.0,1.0,None/Apparently Normal,2014
Texas,481488.0,0.0,1.0,None/Apparently Normal,2014
Texas,481495.0,0.0,1.0,None/Apparently Normal,2014
Texas,481507.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481511.0,0.0,1.0,None/Apparently Normal,2014
Texas,481516.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481520.0,0.0,1.0,None/Apparently Normal,2014
Texas,481535.0,0.0,1.0,None/Apparently Normal,2014
Texas,481547.0,0.0,1.0,None/Apparently Normal,2014
Texas,481586.0,0.0,1.0,None/Apparently Normal,2014
Texas,481588.0,0.0,1.0,None/Apparently Normal,2014
Texas,481598.0,0.0,1.0,None/Apparently Normal,2014
Texas,481613.0,0.0,1.0,None/Apparently Normal,2014
Texas,481614.0,0.0,1.0,None/Apparently Normal,2014
Texas,481615.0,0.0,1.0,None/Apparently Normal,2014
Texas,481619.0,0.0,1.0,None/Apparently Normal,2014
Texas,481634.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481640.0,0.0,1.0,None/Apparently Normal,2014
Texas,481641.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481652.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481657.0,0.0,1.0,None/Apparently Normal,2014
Texas,481667.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481670.0,0.0,1.0,None/Apparently Normal,2014
Texas,481683.0,0.0,1.0,None/Apparently Normal,2014
Texas,481698.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481707.0,0.0,1.0,None/Apparently Normal,2014
Texas,481711.0,0.0,1.0,None/Apparently Normal,2014
Texas,481714.0,0.0,1.0,None/Apparently Normal,2014
Texas,481718.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481724.0,0.0,1.0,None/Apparently Normal,2014
Texas,481725.0,0.0,1.0,None/Apparently Normal,2014
Texas,481727.0,0.0,1.0,None/Apparently Normal,2014
Texas,481727.0,0.0,2.0,None/Apparently Normal,2014
Texas,481727.0,0.0,3.0,None/Apparently Normal,2014
Texas,481728.0,0.0,1.0,None/Apparently Normal,2014
Texas,481731.0,0.0,1.0,None/Apparently Normal,2014
Texas,481740.0,0.0,1.0,None/Apparently Normal,2014
Texas,481743.0,0.0,1.0,None/Apparently Normal,2014
Texas,481755.0,0.0,1.0,None/Apparently Normal,2014
Texas,481757.0,0.0,1.0,None/Apparently Normal,2014
Texas,481760.0,0.0,1.0,None/Apparently Normal,2014
Texas,481770.0,0.0,1.0,None/Apparently Normal,2014
Texas,481774.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481778.0,0.0,1.0,None/Apparently Normal,2014
Texas,481779.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481797.0,0.0,1.0,None/Apparently Normal,2014
Texas,481812.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481819.0,0.0,1.0,None/Apparently Normal,2014
Texas,481822.0,0.0,1.0,None/Apparently Normal,2014
Texas,481832.0,0.0,1.0,None/Apparently Normal,2014
Texas,481832.0,0.0,2.0,None/Apparently Normal,2014
Texas,481846.0,0.0,1.0,None/Apparently Normal,2014
Texas,481847.0,0.0,1.0,None/Apparently Normal,2014
Texas,481870.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481871.0,0.0,1.0,None/Apparently Normal,2014
Texas,481878.0,0.0,1.0,None/Apparently Normal,2014
Texas,481879.0,0.0,1.0,None/Apparently Normal,2014
Texas,481886.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481896.0,0.0,1.0,None/Apparently Normal,2014
Texas,481897.0,0.0,1.0,None/Apparently Normal,2014
Texas,481904.0,0.0,1.0,None/Apparently Normal,2014
Texas,481924.0,0.0,1.0,None/Apparently Normal,2014
Texas,481933.0,0.0,1.0,None/Apparently Normal,2014
Texas,481936.0,0.0,1.0,None/Apparently Normal,2014
Texas,481937.0,0.0,1.0,None/Apparently Normal,2014
Texas,481940.0,0.0,1.0,None/Apparently Normal,2014
Texas,481946.0,0.0,1.0,None/Apparently Normal,2014
Texas,481955.0,0.0,1.0,None/Apparently Normal,2014
Texas,481971.0,0.0,1.0,None/Apparently Normal,2014
Texas,481976.0,0.0,1.0,None/Apparently Normal,2014
Texas,481976.0,0.0,2.0,None/Apparently Normal,2014
Texas,481984.0,0.0,1.0,None/Apparently Normal,2014
Texas,481993.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,481996.0,0.0,1.0,None/Apparently Normal,2014
Texas,482007.0,0.0,1.0,None/Apparently Normal,2014
Texas,482008.0,0.0,1.0,None/Apparently Normal,2014
Texas,482021.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482021.0,0.0,1.0,"Emotional (depressed, angry, disturbed, etc)",2014
Texas,482031.0,0.0,1.0,None/Apparently Normal,2014
Texas,482032.0,0.0,1.0,None/Apparently Normal,2014
Texas,482037.0,0.0,1.0,None/Apparently Normal,2014
Texas,482039.0,0.0,1.0,None/Apparently Normal,2014
Texas,482040.0,0.0,1.0,None/Apparently Normal,2014
Texas,482040.0,0.0,2.0,None/Apparently Normal,2014
Texas,482046.0,0.0,1.0,None/Apparently Normal,2014
Texas,482048.0,0.0,1.0,None/Apparently Normal,2014
Texas,482049.0,0.0,1.0,None/Apparently Normal,2014
Texas,482067.0,0.0,1.0,None/Apparently Normal,2014
Texas,482072.0,0.0,1.0,None/Apparently Normal,2014
Texas,482077.0,0.0,1.0,None/Apparently Normal,2014
Texas,482082.0,0.0,1.0,None/Apparently Normal,2014
Texas,482082.0,0.0,2.0,None/Apparently Normal,2014
Texas,482093.0,0.0,1.0,None/Apparently Normal,2014
Texas,482101.0,0.0,1.0,None/Apparently Normal,2014
Texas,482104.0,0.0,1.0,None/Apparently Normal,2014
Texas,482105.0,0.0,1.0,None/Apparently Normal,2014
Texas,482107.0,0.0,1.0,None/Apparently Normal,2014
Texas,482119.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482137.0,0.0,1.0,None/Apparently Normal,2014
Texas,482138.0,0.0,1.0,None/Apparently Normal,2014
Texas,482152.0,0.0,1.0,"Ill, Blackout",2014
Texas,482155.0,0.0,1.0,None/Apparently Normal,2014
Texas,482157.0,0.0,1.0,None/Apparently Normal,2014
Texas,482184.0,0.0,1.0,None/Apparently Normal,2014
Texas,482184.0,0.0,2.0,None/Apparently Normal,2014
Texas,482186.0,0.0,1.0,None/Apparently Normal,2014
Texas,482192.0,0.0,1.0,None/Apparently Normal,2014
Texas,482214.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482215.0,0.0,1.0,None/Apparently Normal,2014
Texas,482218.0,0.0,1.0,None/Apparently Normal,2014
Texas,482219.0,0.0,1.0,None/Apparently Normal,2014
Texas,482220.0,0.0,1.0,None/Apparently Normal,2014
Texas,482221.0,0.0,1.0,None/Apparently Normal,2014
Texas,482225.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482226.0,0.0,1.0,None/Apparently Normal,2014
Texas,482227.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482228.0,0.0,1.0,None/Apparently Normal,2014
Texas,482230.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482236.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482240.0,0.0,1.0,None/Apparently Normal,2014
Texas,482251.0,0.0,1.0,None/Apparently Normal,2014
Texas,482256.0,0.0,1.0,None/Apparently Normal,2014
Texas,482258.0,0.0,1.0,None/Apparently Normal,2014
Texas,482261.0,0.0,1.0,None/Apparently Normal,2014
Texas,482264.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482266.0,0.0,1.0,None/Apparently Normal,2014
Texas,482268.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482276.0,0.0,1.0,None/Apparently Normal,2014
Texas,482276.0,0.0,2.0,None/Apparently Normal,2014
Texas,482277.0,0.0,1.0,None/Apparently Normal,2014
Texas,482282.0,0.0,1.0,None/Apparently Normal,2014
Texas,482318.0,0.0,1.0,None/Apparently Normal,2014
Texas,482320.0,0.0,1.0,None/Apparently Normal,2014
Texas,482328.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482330.0,0.0,1.0,None/Apparently Normal,2014
Texas,482335.0,0.0,1.0,None/Apparently Normal,2014
Texas,482343.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482348.0,0.0,1.0,None/Apparently Normal,2014
Texas,482353.0,0.0,1.0,None/Apparently Normal,2014
Texas,482358.0,0.0,1.0,None/Apparently Normal,2014
Texas,482360.0,0.0,1.0,None/Apparently Normal,2014
Texas,482365.0,0.0,1.0,None/Apparently Normal,2014
Texas,482375.0,0.0,1.0,None/Apparently Normal,2014
Texas,482382.0,0.0,1.0,None/Apparently Normal,2014
Texas,482394.0,0.0,1.0,None/Apparently Normal,2014
Texas,482397.0,0.0,1.0,None/Apparently Normal,2014
Texas,482403.0,0.0,1.0,None/Apparently Normal,2014
Texas,482412.0,0.0,1.0,"Under the Influence of Alcohol, Drugs or Medication",2014
Texas,482415.0,0.0,1.0,None/Apparently Normal,2014
Texas,482416.0,0.0,1.0,None/Apparently Normal,2014
Texas,482417.0,0.0,1.0,None/Apparently Normal,2014
Texas,482420.0,0.0,1.0,None/Apparently Normal,2014
Texas,482421.0,0.0,1.0,None/Apparently Normal,2014
Texas,482422.0,0.0,1.0,"Emotional (depressed, angry, disturbed, etc)",2014
Texas,482424.0,0.0,1.0,None/Apparently Normal,2014
Texas,482432.0,0.0,1.0,None/Apparently Normal,2014
Texas,482436.0,0.0,1.0,None/Apparently Normal,2014
Texas,482454.0,0.0,1.0,None/Apparently Normal,2014
Texas,482457.0,0.0,1.0,Impaired Due to Previous Injury,2014
Texas,482459.0,0.0,1.0,None/Apparently Normal,2014
Texas,482469.0,0.0,1.0,None/Apparently Normal,2014
