STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,YEAR
Texas,480279.0,0.0,2.0,Pedestrian,57 Years,Male,None Noted,Yes,None Noted,Vehicle-Vehicle / Object,Not a Cyclist,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480280.0,0.0,1.0,Pedestrian,29 Years,Male,None Noted,None Noted,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480282.0,0.0,1.0,Pedestrian,45 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Unpaved Right-of-Way,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480282.0,0.0,2.0,Pedestrian,51 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Unpaved Right-of-Way,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480282.0,0.0,3.0,Pedestrian,49 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Unpaved Right-of-Way,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480282.0,0.0,4.0,Pedestrian,43 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Unpaved Right-of-Way,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480282.0,0.0,5.0,Pedestrian,34 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Unpaved Right-of-Way,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480282.0,0.0,6.0,Pedestrian,42 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Unpaved Right-of-Way,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480282.0,0.0,7.0,Pedestrian,34 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Unpaved Right-of-Way,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480286.0,0.0,1.0,Bicyclist,52 Years,Male,None Noted,None Noted,None Noted,Not a Pedestrian,Motorist Overtaking - Undetected Bicyclist,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist,2014
Texas,480291.0,0.0,1.0,Pedestrian,44 Years,Female,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480298.0,0.0,1.0,Pedestrian,49 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480306.0,0.0,1.0,Pedestrian,28 Years,Male,None Noted,None Noted,None Noted,Walking/Running Along Roadway - Direction / Position Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist,2014
Texas,480309.0,0.0,1.0,Pedestrian,40 Years,Male,None Noted,None Noted,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480312.0,0.0,1.0,Pedestrian,14 Years,Female,Unknown,Unknown,None Noted,Pedestrian Failed to Yield,Not a Cyclist,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,Southbound,Straight through,Nearside,1b,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480313.0,0.0,1.0,Pedestrian,68 Years,Male,Unknown,Yes,None Noted,Motorist Left Turn - Parallel Paths,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Turning,Not a Cyclist,2014
Texas,480316.0,0.0,1.0,Pedestrian,86 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480318.0,0.0,1.0,Pedestrian,27 Years,Male,Unknown,Unknown,None Noted,Motorist Failed to Yield,Not a Cyclist,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,Eastbound,Straight through,Nearside,1a,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480323.0,0.0,1.0,Pedestrian,60 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480330.0,0.0,1.0,Pedestrian,48 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480331.0,0.0,1.0,Pedestrian,69 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Westbound,Not a Cyclist,Southbound,Straight through,Nearside,1a,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480338.0,0.0,1.0,Pedestrian,35 Years,Female,None Noted,None Noted,None Noted,Vehicle-Vehicle / Object,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist,2014
Texas,480339.0,0.0,1.0,Pedestrian,25 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480345.0,0.0,1.0,Pedestrian,21 Years,Male,None Noted,None Noted,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist,2014
Texas,480353.0,0.0,1.0,Pedestrian,33 Years,Male,None Noted,None Noted,None Noted,Crossing an Expressway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist,2014
Texas,480354.0,0.0,1.0,Pedestrian,33 Years,Male,None Noted,None Noted,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480357.0,0.0,1.0,Pedestrian,49 Years,Male,None Noted,None Noted,None Noted,Crossing an Expressway,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist,2014
Texas,480359.0,0.0,1.0,Pedestrian,79 Years,Male,None Noted,None Noted,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480367.0,0.0,1.0,Pedestrian,61 Years,Male,None Noted,None Noted,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist,2014
Texas,480369.0,0.0,1.0,Pedestrian,63 Years,Male,None Noted,None Noted,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist,2014
